date_kst,source,bias_tag,lang,count
20250828,cnbc,positive,en,3
20250828,guardian,negative,en,80
20250828,hankyung,positive,en,98
20250828,news1,neutral,en,100
20250828,reuters,neutral,en,14
20250828,yonhap_tv,neutral,ko,20
20250905,bloomberg,neutral,en,67
20250905,cnbc,positive,en,1
20250905,ft,neutral,en,100
20250905,guardian,negative,en,83
20250905,hankyung,positive,en,100
20250905,news1,neutral,en,100
20250905,nytimes,negative,en,72
20250905,reuters,neutral,en,10
20250905,wsj,positive,en,14
20250905,yonhap_tv,neutral,ko,22
20250905,bloomberg,market,en,67
20250905,cnbc,market,en,1
20250905,ft,market,en,100
20250905,guardian,center_left,en,83
20250905,hankyung,market,en,100
20250905,news1,center,en,100
20250905,nytimes,center_left,en,72
20250905,reuters,center,en,10
20250905,wsj,center_right,en,14
20250905,yonhap_tv,center,ko,22
